epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.682,1.7931,3.55179,1.64028,0.00577,0.1841,0.02498,0.01067,2.23029,4.1414,1.65576,0.0003625,0.0003625,0.0003625
2,250.02,1.68599,2.29226,1.48535,0.35065,0.04693,0.02968,0.01107,2.16436,4.08377,1.69696,0.00073604,0.00073604,0.00073604
3,366.555,1.52182,1.98726,1.38221,0.56041,0.00893,0.00939,0.0031,2.48545,4.12292,2.16356,0.00110809,0.00110809,0.00110809
4,476.514,1.52832,1.96451,1.35833,0.39655,0.07967,0.0678,0.02507,2.34668,3.79014,2.00382,0.00124257,0.00124257,0.00124257
5,589.274,1.42593,1.79924,1.32698,0.43005,0.08098,0.06036,0.02309,2.32653,3.46362,1.81755,0.0012401,0.0012401,0.0012401
6,696.535,1.41644,1.69956,1.31273,0.192,0.07972,0.07203,0.03414,2.44274,3.31412,1.94766,0.00123763,0.00123763,0.00123763
7,812.761,1.40571,1.65174,1.29565,0.1855,0.08185,0.07773,0.03426,2.46529,3.07107,1.87728,0.00123515,0.00123515,0.00123515
8,928.699,1.37006,1.54679,1.27138,0.25087,0.17085,0.1271,0.05568,2.37113,2.89456,1.8038,0.00123268,0.00123268,0.00123268
9,1060.87,1.34956,1.58582,1.25312,0.26878,0.10729,0.14254,0.07056,2.19133,3.09254,1.59193,0.0012302,0.0012302,0.0012302
10,1180.83,1.28711,1.48793,1.22957,0.20073,0.1714,0.12886,0.05558,2.31518,2.78589,1.71211,0.00122773,0.00122773,0.00122773
11,1308.44,1.29522,1.47652,1.23073,0.32339,0.17749,0.16555,0.07844,2.25546,2.71869,1.63238,0.00122525,0.00122525,0.00122525
12,1437.7,1.3387,1.42964,1.24596,0.29303,0.21583,0.17831,0.08491,2.22623,2.62644,1.61534,0.00122277,0.00122277,0.00122277
13,1552.49,1.27126,1.3892,1.22133,0.3231,0.19697,0.20062,0.10251,2.13033,2.34965,1.52032,0.0012203,0.0012203,0.0012203
14,1657.78,1.3572,1.41273,1.26143,0.40227,0.23132,0.21982,0.11264,2.16578,2.35979,1.60232,0.00121783,0.00121783,0.00121783
15,1767.39,1.29548,1.34299,1.23146,0.31019,0.2151,0.18025,0.09521,2.11849,2.50091,1.54843,0.00121535,0.00121535,0.00121535
16,1872.62,1.24579,1.33393,1.19876,0.3193,0.25223,0.20578,0.08845,2.32384,2.42462,1.67617,0.00121287,0.00121287,0.00121287
17,1976.31,1.23763,1.31959,1.17896,0.4249,0.25035,0.23968,0.12434,2.08202,2.17641,1.5288,0.0012104,0.0012104,0.0012104
18,2078.65,1.23424,1.32789,1.18529,0.44078,0.29433,0.26701,0.1425,2.12193,2.19249,1.56953,0.00120793,0.00120793,0.00120793
19,2182.28,1.23351,1.23045,1.20416,0.49234,0.25966,0.24579,0.11954,2.12431,2.23757,1.58931,0.00120545,0.00120545,0.00120545
20,2285.7,1.27731,1.23306,1.23833,0.46982,0.24971,0.26156,0.13387,2.02062,2.22904,1.4876,0.00120298,0.00120298,0.00120298
21,2387.88,1.21653,1.20416,1.18183,0.40972,0.25644,0.23882,0.1276,1.92965,2.25843,1.40948,0.0012005,0.0012005,0.0012005
22,2491.58,1.23565,1.17635,1.18953,0.41413,0.28672,0.25281,0.12571,2.0491,2.18126,1.48795,0.00119802,0.00119802,0.00119802
23,2594.74,1.20767,1.21416,1.16635,0.293,0.28674,0.21131,0.0939,2.20024,2.25557,1.61381,0.00119555,0.00119555,0.00119555
24,2698.46,1.21393,1.1648,1.19149,0.44764,0.21956,0.20211,0.10095,2.29374,2.38099,1.74384,0.00119308,0.00119308,0.00119308
25,2801.02,1.22098,1.13184,1.20968,0.38404,0.24088,0.2181,0.10343,2.30225,2.53924,1.6979,0.0011906,0.0011906,0.0011906
26,2902.81,1.21528,1.20626,1.17764,0.53029,0.29127,0.31468,0.16522,2.06718,2.00765,1.55385,0.00118812,0.00118812,0.00118812
27,3005.88,1.1953,1.13452,1.17457,0.52761,0.30136,0.29274,0.15567,2.02236,2.11966,1.51269,0.00118565,0.00118565,0.00118565
28,3108.15,1.18137,1.12959,1.16777,0.42656,0.29618,0.28669,0.15473,2.0463,2.1702,1.50876,0.00118317,0.00118317,0.00118317
29,3211.08,1.17059,1.11506,1.16662,0.47342,0.3044,0.30576,0.14896,2.02876,1.97203,1.48156,0.0011807,0.0011807,0.0011807
30,3313.99,1.1672,1.08371,1.16504,0.44582,0.27923,0.24252,0.11661,2.31127,2.17015,1.83547,0.00117822,0.00117822,0.00117822
31,3435.62,1.21723,1.1194,1.18657,0.46618,0.29009,0.2797,0.1455,2.04087,2.07819,1.47822,0.00117575,0.00117575,0.00117575
32,3562.55,1.16345,1.12625,1.16164,0.38518,0.32301,0.27625,0.13313,2.00762,2.00364,1.44455,0.00117327,0.00117327,0.00117327
33,3691.16,1.16624,1.11571,1.16404,0.67807,0.24207,0.29821,0.16662,1.86115,2.14533,1.38616,0.0011708,0.0011708,0.0011708
34,3817.59,1.1064,1.04696,1.14306,0.60812,0.31845,0.31675,0.16133,1.94844,2.04464,1.4706,0.00116833,0.00116833,0.00116833
35,3942.26,1.18638,1.07162,1.16018,0.48697,0.33817,0.32061,0.16327,1.97226,1.86077,1.43034,0.00116585,0.00116585,0.00116585
36,4068.28,1.1551,1.09564,1.1548,0.47086,0.33259,0.30537,0.17522,1.96444,2.26835,1.41619,0.00116337,0.00116337,0.00116337
37,4193.95,1.14454,1.03844,1.16177,0.45752,0.3152,0.26869,0.13502,1.92722,2.0726,1.46065,0.0011609,0.0011609,0.0011609
38,4320.05,1.17359,1.06509,1.14993,0.51066,0.31221,0.31957,0.16637,1.85172,1.73446,1.41441,0.00115843,0.00115843,0.00115843
39,4443.56,1.14455,1.01663,1.1626,0.50439,0.32212,0.3092,0.16542,1.97649,1.8347,1.4806,0.00115595,0.00115595,0.00115595
40,4567.25,1.15866,1.0373,1.14751,0.46148,0.33422,0.33732,0.17699,1.97254,1.8418,1.40997,0.00115348,0.00115348,0.00115348
