epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.128,0.77506,0.47686,0.95218,0.71273,0.44396,0.515,0.33467,1.39796,1.2463,1.11965,0.0003625,0.0003625,0.0003625
2,257.233,0.79703,0.50518,0.96205,0.67329,0.42467,0.47263,0.28618,1.52676,1.31901,1.18249,0.00073604,0.00073604,0.00073604
3,364.773,0.83383,0.51154,0.98462,0.71056,0.37893,0.43772,0.27883,1.55339,1.59106,1.19322,0.00110809,0.00110809,0.00110809
4,466.383,0.8696,0.53768,1.00201,0.70703,0.37923,0.43331,0.24174,1.60755,1.64317,1.22062,0.00124257,0.00124257,0.00124257
5,580.748,0.85068,0.54549,0.99669,0.6438,0.38504,0.41636,0.262,1.57429,1.68232,1.19487,0.0012401,0.0012401,0.0012401
6,690.098,0.85342,0.53676,0.98894,0.73606,0.37691,0.45065,0.26592,1.59905,1.51694,1.22161,0.00123763,0.00123763,0.00123763
7,792.92,0.89041,0.54275,1.00616,0.59996,0.34435,0.38237,0.21834,1.73019,1.76641,1.30129,0.00123515,0.00123515,0.00123515
8,896.543,0.92892,0.56755,1.02166,0.66586,0.34937,0.40832,0.25811,1.61285,1.81122,1.26297,0.00123268,0.00123268,0.00123268
9,998.331,0.8713,0.55678,1.00765,0.59394,0.35551,0.39794,0.25093,1.66169,1.95482,1.26221,0.0012302,0.0012302,0.0012302
10,1105.59,0.88104,0.55902,1.02267,0.57131,0.3498,0.37131,0.21649,1.89782,2.40619,1.42009,0.00122773,0.00122773,0.00122773
11,1207.34,0.92779,0.58541,1.03363,0.55115,0.38418,0.38089,0.21331,1.6959,1.6385,1.28694,0.00122525,0.00122525,0.00122525
12,1310.21,0.97969,0.61455,1.07138,0.80254,0.33862,0.41495,0.24028,1.7404,1.64966,1.27667,0.00122277,0.00122277,0.00122277
13,1411.9,0.96114,0.59581,1.05508,0.68534,0.35565,0.39826,0.23397,1.67163,1.68108,1.2194,0.0012203,0.0012203,0.0012203
14,1513.64,0.94716,0.58943,1.036,0.54157,0.37003,0.392,0.23164,1.58994,1.8225,1.20496,0.00121783,0.00121783,0.00121783
15,1615.69,0.94819,0.58389,1.04264,0.57141,0.39003,0.40144,0.23064,1.67703,1.53223,1.2597,0.00121535,0.00121535,0.00121535
16,1717.66,0.92737,0.58274,1.04152,0.68733,0.38534,0.45232,0.27633,1.61826,1.40421,1.26071,0.00121287,0.00121287,0.00121287
17,1820.07,0.8861,0.56882,1.0151,0.626,0.36257,0.38729,0.20968,1.8272,1.65831,1.35735,0.0012104,0.0012104,0.0012104
18,1921.05,0.95394,0.59317,1.04883,0.6442,0.369,0.41151,0.23832,1.73661,1.69789,1.34363,0.00120793,0.00120793,0.00120793
19,2022.87,0.91016,0.57958,1.01595,0.69078,0.33869,0.41833,0.25251,1.64142,1.59749,1.31468,0.00120545,0.00120545,0.00120545
20,2125.35,0.96574,0.60265,1.04699,0.69469,0.3424,0.40982,0.2491,1.5883,1.56359,1.24553,0.00120298,0.00120298,0.00120298
21,2235.65,0.87446,0.57258,1.00864,0.66512,0.35449,0.40361,0.25863,1.55013,1.62084,1.20733,0.0012005,0.0012005,0.0012005
