epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6955,1.93296,3.69447,2.2756,0.49096,0.37987,0.35422,0.24348,1.21802,2.3327,1.43226,0.000125,0.000125,0.000125
2,67.9379,1.72984,2.39943,2.02275,0.63054,0.37188,0.4044,0.26231,1.31928,2.36342,1.56182,0.00026198,0.00026198,0.00026198
3,99.7304,1.56749,1.66574,1.83839,0.45882,0.40529,0.4213,0.2698,1.27109,1.99804,1.44991,0.000398416,0.000398416,0.000398416
4,129.737,1.40853,1.46106,1.67224,0.56076,0.5012,0.53767,0.3052,1.41451,1.61757,1.45534,0.000534307,0.000534307,0.000534307
5,159.262,1.41491,1.42188,1.64223,0.72847,0.54012,0.62332,0.35527,1.39699,1.44108,1.46298,0.000669654,0.000669654,0.000669654
6,188.724,1.36171,1.36448,1.61778,0.77198,0.38122,0.52454,0.30663,1.44847,1.7609,1.51945,0.000804456,0.000804456,0.000804456
7,216.341,1.33303,1.36432,1.59711,0.79234,0.56836,0.62236,0.34625,1.40218,1.39205,1.48684,0.000938714,0.000938714,0.000938714
8,243.968,1.3278,1.2922,1.58739,0.79976,0.52846,0.6164,0.38867,1.23497,1.41896,1.34893,0.00107243,0.00107243,0.00107243
9,268.948,1.26541,1.29319,1.55964,0.76812,0.5794,0.64331,0.40995,1.17331,1.3182,1.3388,0.0012056,0.0012056,0.0012056
10,293.925,1.26797,1.21674,1.56377,0.71631,0.5641,0.567,0.32071,1.33414,1.72951,1.4794,0.00122773,0.00122773,0.00122773
11,318.374,1.28217,1.14985,1.55155,0.74722,0.51568,0.55941,0.36785,1.28431,1.45525,1.47125,0.00122525,0.00122525,0.00122525
12,342.576,1.22983,1.17801,1.49737,0.73488,0.55239,0.59591,0.36555,1.28161,1.42335,1.42007,0.00122277,0.00122277,0.00122277
13,368.651,1.27745,1.13537,1.55119,0.71591,0.52399,0.57949,0.36952,1.20897,1.54139,1.37915,0.0012203,0.0012203,0.0012203
14,391.784,1.29474,1.19783,1.56571,0.63747,0.55884,0.62205,0.39536,1.24107,1.4607,1.36844,0.00121783,0.00121783,0.00121783
15,415.511,1.2978,1.17171,1.55744,0.63637,0.56903,0.60076,0.39644,1.22093,1.34476,1.37218,0.00121535,0.00121535,0.00121535
16,438.949,1.19407,1.09701,1.48463,0.75488,0.54017,0.59825,0.38978,1.25789,1.45847,1.36196,0.00121287,0.00121287,0.00121287
17,463.415,1.24433,1.13925,1.50704,0.78841,0.48761,0.57751,0.38358,1.22284,1.32085,1.39692,0.0012104,0.0012104,0.0012104
18,487.948,1.23324,1.10299,1.5182,0.79146,0.55043,0.64769,0.40256,1.23562,1.33712,1.36902,0.00120793,0.00120793,0.00120793
19,511.511,1.17474,1.03788,1.45632,0.85712,0.45438,0.55522,0.35722,1.23972,1.62303,1.34221,0.00120545,0.00120545,0.00120545
20,535.001,1.17238,1.03153,1.44854,0.77062,0.48677,0.56234,0.36323,1.22765,1.54227,1.37841,0.00120298,0.00120298,0.00120298
